id	kind	provider	model	quality	size	unit_price_cents	unit	notes	effective_date
gpt-image-2-low-1024	image	openai	gpt-image-2	low	1024x1024	2	image		2026-01-01
gpt-image-2-high-1536x1024	image	openai	gpt-image-2	high	1536x1024	30	image		2026-01-01
gpt-image-1-5-low-1024	image	openai	gpt-image-1.5	low	1024x1024	1	image	rounds down from $0.009	2026-01-01
sora-2-720p	video	openai	sora-2		1280x720	10	second		2026-01-01
sora-2-pro-1792x1024	video	openai	sora-2-pro		1792x1024	50	second	a 12s run is $6.00	2026-01-01
